"№ пп	Страна	Дата	Специфика сайта	Адрес (Название сайта)	Рейтинг посещаемости			Переписка с сайтом (приглашение в ПП)							Примечания						";;;;;;;;
"100	н	01.06.2017	прогнозы спорта 	http://www.marcadores.com/contacto.html	1.3M			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"101	н	01.06.2017	прогнозы спорта 	http://www.cuantoacuanto.com/pronosticos-parley/page/10/	327.3K			cuantoacuanto@gmail.com		01.06.2017	Антонио бж										";;;;;;;;
"102	уругуай 	01.06.2017	прогнозы спорта 	https://www.supermatch.com.uy	40.8K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"103	н	01.06.2017	прогнозы спорта 	https://www.miljugadas1.com/es-ES/sportsbook	136.4K			info@miljugadas.com		01.06.2017	Антонио бж										";;;;;;;;
"104	Испания 	01.06.2017	ставки спорта 	https://deportes.marcaapuestas.es/es	161.0K			ayuda@marcaapuestas.es		01.06.2017	Антонио бж										";;;;;;;;
"105	Испания 	01.06.2017	футбольная ставка 	http://static.williamhill.com/sport/football-betting/?var5=7kwZ1L4iG5ZmM3W&var9=2Keh	2.5M			отправил формуляр на сайте		01.06.2017	Антонио бж	да	02.фев								";;;;;;;;
"106	н	01.06.2017	новости спорта 	http://www.goal.com/es/news/1958/apuestas	57.1M			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"107	Испания 	01.06.2017	прогнозы спорта 	https://apuestas.juegging.es/esp/Sport	80.5K			atencionalcliente@juegging.es------ marketing@juegging.es 		01.06.2017	Антонио бж	да, дали другой адрес чтобы общаться 	01.янв								";;;;;;;;
"108	Испания 	01.06.2017	прогнозы спорта 	https://www.apuestasdemurcia.es	102.4K			отправил формуляр на сайте		01.06.2017	Антонио бж										";;;;;;;;
"109	н	01.06.2017	прогнозы спорта 	https://www.aposta.la/apuestas/standard/hoy#/	1.4M			contacto@aposta.la		01.06.2017	Антонио бж										";;;;;;;;
"	испания 	02.06.2017	ставки 	https://www.interwetten.es/es/apuestas-deportivas/l/406970/uruguay-segunda-division	70.1K			espana@interwetten.es		02.06.2017	Антонио бж	да, надо ждать 	01.янв								";;;;;;;;
"	перу 	02.06.2017	ставки 	https://www.inkabet.pe/es-ES/sportsbook	638.1K			info@inkabet.pe		02.06.2017	Антонио бж	да, надо ждать 	01.янв								";;;;;;;;
"	н	02.06.2017	новости 	http://www.elobservador.com.uy	3.7M			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	Н	02.06.2017	ставки 	https://es.10bet.com/sports/f?tbol/	34.1K			отправил формуляр на сайте		02.06.2017	Антонио бж	да, надо ждать 									";;;;;;;;
"	Испания 	02.06.2017	ставки 	https://euskadi.retabet.es/ApuestasDeportivasHome.aspx	64.0K			info@retabet.es		02.06.2017	Антонио бж										";;;;;;;;
"	чили 	02.06.2017	ставки 	https://xperto.polla.cl/es/	131.3K			 contacto@pollachilena.cl		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	http://www.codere.com	33.6K			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	https://www.bodogpromotions.eu/es/microsite/juegos-de-casino?referral=M5moPYK503SfjCBcdZ9ZmGNd7ZgqdRLk&refemail=	2.3M			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	мексика	02.06.2017	ставки 	http://apuestas-mexico.com/apuestas-de-futbol-mexicano-hoy-viernes-8-enero-2016/	89			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	http://www.apostar-y-futbol.com	35.4K			http://tiempo.com.mx/noticia/83840-chivas_vs_tigres_gran_final_2017_futbol_mexico/1#		02.06.2017	Антонио бж										";;;;;;;;
"	Испания 	02.06.2017	ставки 	http://www.apuesta10.es	19.6K			info@apuesta10.es		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	https://www.pensadordeapuestas.com	34.4K			отправил формуляр на сайте	 	02.06.2017	Антонио бж										";;;;;;;;
"	Испания 	02.06.2017	ставки 	http://www.futbolprimera.es/2012/05/14/los-pronosticos-de-jj-brotons-para-la-final-de-champions-league	31.0K			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	http://www.amigofutbolero.com/2017/04/pronosticos-ida-semifinales-champions-2017.html	991			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	https://www.trebol-apuestas.com	11.9K			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	http://www.lasapuestasdeportivas.net	793			contacto@lasapuestasdeportivas.net		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	http://www.sheykmisapuestas.com/pronosticos-y-apuestas-para-champions-league	491			sheykmisapuestas@gmail.com		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	https://pronosticos.co/monaco-juventus-previa-pronostico-y-apuestas.html	1.2M			admin@pronostico.com 		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	http://www.rubyfortune.com/es/	437.5K			 soporte@thepalacegroup.com		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	https://www.oddschecker.com/es/pronosticos/baloncesto/20170503-un-mayo-100pp-basket	3.9M			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	http://apuestablog.com	783			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	http://elmejorblogdeapuestas.com	429			отправил формуляр на сайте		02.06.2017	Антонио бж										";;;;;;;;
"	н	02.06.2017	ставки 	http://www.mummysgold.com	""16.7K";;;;;;;;
"			support@thepalacegroup.com		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://foro-apuestas.com/index.php	3.7K			отправил формуляр на сайте		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://apuestasblog.com	1.6K";;;;;;;;
"			hola@apuestasfree.com		02.06.2017	Антонио бж										
		02.06.2017	ставки 	http://www.basketme.com				moc.emteksab@noiccerid		02.06.2017	Антонио бж										
	Испания 	02.06.2017	ставки 	http://habwin.com/es/habbets/tips-de-apuestas-deportivas/pronosticos-apuestas-nba/4/	6.2K			отправил формуляр на сайте		02.06.2017	Антонио бж										
	Испания 	02.06.2017	новости 	https://www.minuto30.com/contactanos/	3.3M			info@minuto30.com		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://pronosticosnba.blogspot.de	8.3K";;;;;;;;
"			отправил формуляр на сайте		02.06.2017	Антонио бж										
	Испания 	02.06.2017	ставки 	http://todo-apuestas.es/foro/apuestas-de-futbol/11/	7.3K			отправил формуляр на сайте		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://www.apuestasfutbol.com/pronostico-y-apuestas-copa-america-2015-argentina-vs-colombia/	608";;;;;;;;
"			отправил формуляр на сайте		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://www.gamblingdeposits.com/es/	990";;;;;;;;
"			отправил формуляр на сайте		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://superlineas.weebly.com	2.3K			отправил формуляр на сайте		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://www.apuestascasinopoker.com/tag/beneficios	947			отправил формуляр на сайте		02.06.2017	Антонио бж										
	Испания 	02.06.2017	ставки 	http://www.findeen.es				info@apuestascasinopoker.com		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://www.pickero.com/es/livescore/baseball,Marcadores-en-directo-Beisbol	158			отправил формуляр на сайте		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://www.meridiano.com.ve	1.6M			Frodriguez@dearmas.com		02.06.2017	Антонио бж										
	аргентина 	02.06.2017	ставки 	http://100seguro.com.ar	11.9K";;;;;;;;
"			info@cycweb.com.ar		02.06.2017	Антонио бж										
	испания 	02.06.2017	ставки 	https://quinielatulotero.es/trucos/quiniela-multiple/	483			info@tulotero.es		02.06.2017	Антонио бж										
	н	02.06.2017	ставки 	http://www.mi-quiniela.com/como-hacer-una-quiniela-multiple/				miquiniela@mi-quiniela.com		02.06.2017	Антонио бж										
										02.06.2017	Антонио бж										
";;;;;;;;
